,Customer,Representative,spending,HQ
0,European Commission,Business and Strategies in Europe (B&S Europe),"With the revenue of 1,000,000 € or more:",Belgium
281,Monaco (http://www.gouv.mc/),Avisa Partners,"With the revenue of 600,000 € - 699,999 €:",France
282,DIAVERUM    (http://www.diaverum.com),Avisa Partners,"With the revenue of 600,000 € - 699,999 €:",Sweden
1,Belgian Development Agency,Business and Strategies in Europe (B&S Europe),"With the revenue of 1,000,000 € or more:",Belgium
283,DaVita Netherlands (https://www.davita.com/about/international),Avisa Partners,"With the revenue of 50,000 € - 99,999 €:",USA
2,ABI - INBEV,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Belgium
2,ASSOCIATION FOR FINANCIAL MARKETS IN EUROPE (AFME),Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Belgium
284,European Copper Institute (http://copperalliance.eu/),Avisa Partners,"With the revenue of 50,000 € - 99,999 €:",Belgium
285,Fresenius (https://www.fresenius.com/),Avisa Partners,"With the revenue of 50,000 € - 99,999 €:",Germany
3,APPLE,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
4,BPA (PLASTICS EUROPE),Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Belgium
286,VIRBAC (https://virbac.com/),Avisa Partners,"With the revenue of 50,000 € - 99,999 €:",France
6,CAPITAL GROUP,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
287,European Jewish Cemeteries Initiative (http://www.esjf-cemeteries.org/about-us/),Avisa Partners,"With the revenue below 9,999 €:",France
7,CENTRICA,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",UK
288,CEVA (http://www.ceva.nl),Avisa Partners,"With the revenue of 10,000 € - 24,999 €:",Netherlands
289,Japan Business Council in Europe (http://www.jbce.org),Avisa Partners,"With the revenue of 10,000 € - 24,999 €:",No link found
8,CREDIT SUISSE,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Switzerland
290,Mémorial de la Shoah (www.memorialdelashoah.org),Avisa Partners,"With the revenue of 10,000 € - 24,999 €:",France
5,DROPBOX,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
291,Japan Machinery Center Trade & Investment (http://www.jmcti.org/jmchomepage/english),Avisa Partners,"With the revenue of 10,000 € - 24,999 €:",Japan
6,EUROPEAN EXPRESS ASSOCIATION (EEA),Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Belgium
292,Technicolor SAP (http://www.technicolor.com),Avisa Partners,"With the revenue of 25,000 € - 49,999 €:",France
7,EUROPEAN FUEL OXYGENATES ASSOCIATION (EFOA),Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Belgium
293,Mission of Japan to the European Union (http://www.eu.emb-japan.go.jp/itprtop_en/index.html),Avisa Partners,"With the revenue of 25,000 € - 49,999 €:",Japan
8,EMBASSY OF SINGAPORE,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Singapore
13,ERSTE BANK,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Austria
294,Japan External Trade Organization (http://www.jetro.go.jp),Avisa Partners,"With the revenue of 100,000 € - 199,999 €:",Japan
9,FORUM OF EUROPEAN ASSET MANAGERS (FEAM),Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Germany
295,Bayer Animal Health (http://animalhealth.bayer.com),Avisa Partners,"With the revenue of 100,000 € - 199,999 €:",Germany
296,Springer Science + Business Media Deutschland (http://www.springernature.com),Avisa Partners,"With the revenue of 100,000 € - 199,999 €:",Germany
15,GENERAL ELECTRIC,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
10,HUNTSMAN,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
297,Ericsson (https://www.ericsson.com/en),Avisa Partners,"With the revenue of 100,000 € - 199,999 €:",Sweden
508,Airbus Group (http://www.airbus.com),Avisa Partners,"With the revenue of 100,000 € - 199,999 €:",Netherlands
11,INTERNATIONAL SECURITIES LENDING ASSOCIATION (ISLA),Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",UK
12,MEDEL,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",UNCLEAR
19,NIKE,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
13,NIS,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Serbia
